filename,predicted_species
1000170626.ogg,barswa
1000308629.ogg,brwjac1
1000389428.ogg,grbeat1
1000424265.ogg,bcnher
1000450112.ogg,comgre
1000617501.ogg,thbwar1
100065465.ogg,litegr
1000771054.ogg,gargan
1001322634.ogg,bcnher
1001358022.ogg,comgre
100159753.ogg,lirplo
1001764212.ogg,comgre
1001973321.ogg,eurcoo
100238396.ogg,grywag
1002477772.ogg,eaywag1
1002849488.ogg,barswa
1002972882.ogg,eurcoo
1003271259.ogg,litgre1
1003294151.ogg,whbwat1
1003342351.ogg,sqtbul1
100350238.ogg,brnshr
1003547423.ogg,bcnher
1004032111.ogg,thbwar1
1004306161.ogg,gyhcaf1
1004592149.ogg,blnmon1
1004847336.ogg,eaywag1
1005066072.ogg,purher1
1005067976.ogg,blrwar1
1005273543.ogg,comsan
1005397662.ogg,comgre
1005741050.ogg,lirplo
1006070446.ogg,ashpri1
1006144689.ogg,thbwar1
1006166529.ogg,blnmon1
1006168449.ogg,comsan
100624480.ogg,litspi1
1006252251.ogg,eaywag1
1006716559.ogg,comkin1
1006911024.ogg,wemhar1
1006970219.ogg,commyn
1007192932.ogg,barswa
10073310.ogg,gargan
1007560242.ogg,comsan
1007595436.ogg,gyhcaf1
1007610054.ogg,sohmyn1
1008346526.ogg,grywag
1008419427.ogg,comsan
1008685149.ogg,bcnher
1008961689.ogg,eaywag1
1009135395.ogg,eaywag1
1009201712.ogg,sohmyn1
1009279120.ogg,eurcoo
1009356839.ogg,litspi1
1009360456.ogg,comgre
1009613927.ogg,eaywag1
1009772417.ogg,bcnher
1009822524.ogg,barswa
1010347379.ogg,graher1
1010575610.ogg,zitcis1
101125218.ogg,comgre
1011673648.ogg,barswa
1012206837.ogg,hoopoe
101282155.ogg,bkwsti
1012842173.ogg,zitcis1
1014341423.ogg,brwowl1
1014390061.ogg,comkin1
1014420953.ogg,eaywag1
1014663643.ogg,litspi1
10146969.ogg,bkwsti
1015211780.ogg,hoopoe
1015325399.ogg,commoo3
1016255491.ogg,eurcoo
101648775.ogg,comgre
1017059963.ogg,commoo3
1017169475.ogg,comgre
1017371115.ogg,grewar3
1017385916.ogg,comgre
1017565224.ogg,bkrfla1
1017584751.ogg,bcnher
1017632439.ogg,grbeat1
1017730633.ogg,eaywag1
1018093365.ogg,bcnher
1018192609.ogg,bcnher
1018277939.ogg,brwowl1
1018676695.ogg,litspi1
1018822946.ogg,brnshr
1019241968.ogg,blhori1
1019489898.ogg,comsan
101991657.ogg,eucdov
1020040504.ogg,litgre1
1020071719.ogg,grnsan
1020387290.ogg,bcnher
1020804672.ogg,houspa
1020862435.ogg,zitcis1
1021151925.ogg,gyhcaf1
1021176464.ogg,eurcoo
1021660216.ogg,comtai1
1021937291.ogg,comsan
102227520.ogg,eaywag1
1022304169.ogg,bcnher
1022427194.ogg,wemhar1
1022720022.ogg,rossta2
1022776360.ogg,litgre1
1022881985.ogg,eucdov
102312037.ogg,comgre
1023161746.ogg,woosan
102324311.ogg,ashdro1
1023302316.ogg,comgre
102331396.ogg,blnmon1
1023401617.ogg,kenplo1
1023540549.ogg,rewlap1
1023812759.ogg,sohmyn1
1024257646.ogg,zitcis1
1024406114.ogg,lirplo
